City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,touros,-5.1989,-35.4608,24.45,77,0,5.84,BR,1726620222
340,masuguru,-11.3667,38.4167,21.89,84,0,1.94,TZ,1726620222
341,peace river,56.2501,-117.286,22.17,46,100,1.54,CA,1726620137
342,vadlapudi,14.3167,79.8,28.02,62,52,3.57,IN,1726620222
343,rawson,-43.3002,-65.1023,15.16,26,0,4.12,AR,1726620222
344,el bauga,18.262,33.9081,34.36,30,34,3.37,SD,1726620222
345,banda aceh,5.5577,95.3222,26.55,79,100,7.52,ID,1726620223
346,merizo village,13.2658,144.6691,28.32,89,100,0.55,GU,1726620223
347,bingol,38.8847,40.4939,16.83,60,0,2.03,TR,1726620223
348,dar kulayb,26.0686,50.5039,32.79,71,0,2.44,BH,1726620223
349,tomatlan,19.9333,-105.25,25.78,85,53,1.95,MX,1726620223
350,namibe,-15.1961,12.1522,18.3,89,71,4.14,AO,1726620223
351,kolpashevo,58.3131,82.9089,9.04,87,100,2.44,RU,1726620223
352,concepcion del oro,24.6333,-101.4167,20.73,49,64,1.62,MX,1726620224
353,banff,51.1762,-115.5698,19.21,42,60,2.06,CA,1726620224
354,ostroda,53.6967,19.9649,16.21,56,100,2.23,PL,1726620225
355,barah,13.7,30.3667,27.43,66,100,3.07,SD,1726620225
356,igarka,67.4667,86.5833,3.57,71,100,0.9,RU,1726620225
357,shakawe,-18.3667,21.85,21.24,21,81,2.07,BW,1726620225
